Elapsed time,Failed transactions,Response time,Availability,Transactions,Data transferred,Shortest transaction,Successful transactions,Concurrency,Throughput,Transaction rate,Longest transaction
11.62 secs,0,1.43 secs,100.00 %,500 hits,3.79 MB,0.02,500,61.64,0.33 MB/sec,43.03 trans/sec,6.40
21.67 secs,0,2.42 secs,100.00 %,1000 hits,7.59 MB,0.02,1000,111.77,0.35 MB/sec,46.15 trans/sec,14.62
35.41 secs,0,3.74 secs,100.00 %,1500 hits,11.38 MB,0.02,1500,158.48,0.32 MB/sec,42.36 trans/sec,32.14
42.75 secs,0,4.61 secs,100.00 %,2000 hits,15.17 MB,0.02,2000,215.54,0.35 MB/sec,46.78 trans/sec,37.60
67.21 secs,0,5.78 secs,100.00 %,2500 hits,18.96 MB,0.02,2500,214.96,0.28 MB/sec,37.20 trans/sec,60.10
40.65 secs,0,3.94 secs,100.00 %,3000 hits,22.76 MB,0.02,3000,290.76,0.56 MB/sec,73.80 trans/sec,35.93
70.75 secs,23,7.43 secs,99.34 %,3477 hits,26.39 MB,0.02,3477,365.39,0.37 MB/sec,49.14 trans/sec,63.32
79.66 secs,21,6.56 secs,99.48 %,3979 hits,30.19 MB,0.02,3979,327.64,0.38 MB/sec,49.95 trans/sec,63.55
78.62 secs,22,7.17 secs,99.51 %,4478 hits,33.98 MB,0.02,4478,408.47,0.43 MB/sec,56.96 trans/sec,75.07
76.81 secs,61,8.74 secs,98.78 %,4939 hits,37.50 MB,0.02,4939,562.14,0.49 MB/sec,64.30 trans/sec,68.43
